,average_stars,review_count,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,cool,fans,funny,review_length,review_stars,review_use,friend_count,friend_label,rev_count_label,buss_star,buss_review,alpha_length,length_lemmatize,NN,NNP,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,Faker
0,4.67,8,0,0,0,0,0,0,0,0,1,0,0,0,520,5,3,9,1,1,4,217,98,46,22,0,3,0,1,8,3,8,0,0,0,5,5,0,4,1,3,1,0,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,823,1,2,0,0,0,4,1694,139,72,30,0,8,0,0,5,9,9,0,0,0,7,11,1,4,3,1,1,0,1,1
2,1.67,2,0,0,0,0,0,0,0,0,0,0,0,0,240,3,1,0,0,1,2,180,46,18,10,0,3,0,0,4,1,0,0,0,0,2,6,0,2,2,1,0,1,0,1
3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,174,4,0,0,0,1,3,70,35,18,6,0,3,0,0,4,1,4,0,0,0,2,2,0,0,1,1,0,0,0,1
4,3.73,48,1,0,1,2,0,0,1,0,1,2,3,6,1511,3,0,261,3,2,4.5,145,279,137,55,0,9,0,0,13,4,17,1,0,0,14,15,3,10,6,16,1,2,1,1
5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,47,5,0,0,0,0,3.5,85,9,7,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,439,5,0,0,0,0,4,106,88,38,17,0,2,0,0,4,3,4,0,0,0,6,9,0,2,2,1,1,0,0,1
7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,305,5,0,0,0,1,3.5,49,56,27,10,0,6,1,0,0,3,2,0,0,1,2,3,1,1,2,1,0,0,0,1
8,3.96,50,7,0,7,2,0,4,9,0,7,5,1,12,873,5,3,98,2,2,4,3,163,78,37,0,9,1,0,13,5,8,0,0,1,8,12,3,3,5,4,0,0,3,1
9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,295,4,0,0,0,1,3.5,34,58,24,7,0,2,0,0,7,1,5,0,0,0,3,5,0,0,2,1,0,0,0,1
